Athlete,Year,Nationality,Time,Total Time in Seconds,Race,Gender
Gordon Perry,1983,United Kingdom,3:20:07,12007,London Marathon,Men
Kevin Breen,1984,Ireland,2:38:40,9520,London Marathon,Men
Chris Hallam,1985,United Kingdom,2:19:53,8393,London Marathon,Men
Gerry O'Rourke,1986,Ireland,2:26:38,8798,London Marathon,Men
Chris Hallam,1987,United Kingdom,2:08:34,7714,London Marathon,Men
Ted Vince,1988,Canada,2:01:37,7297,London Marathon,Men
David Holding,1989,United Kingdom,1:59:31,7171,London Marathon,Men
Håkan Ericsson,1990,Sweden,1:57:12,7032,London Marathon,Men
Farid Amarouche,1991,France,1:52:52,6772,London Marathon,Men
Daniel Wesley,1992,Canada,1:51:42,6702,London Marathon,Men
George Vandamme,1993,Belgium,1:44:10,6250,London Marathon,Men
David Holding,1994,United Kingdom,1:46:06,6366,London Marathon,Men
Heinz Frei,1995,Switzerland,1:39:14,5954,London Marathon,Men
David Holding,1996,United Kingdom,1:43:48,6228,London Marathon,Men
David Holding,1997,United Kingdom,1:42:15,6135,London Marathon,Men
Heinz Frei,1998,Switzerland,1:35:18,5718,London Marathon,Men
Heinz Frei,1999,Switzerland,1:35:27,5727,London Marathon,Men
Kevin Papworth,2000,United Kingdom,1:41:50,6110,London Marathon,Men
Denis Lemeunier,2001,France,1:42:37,6157,London Marathon,Men
David Weir,2002,United Kingdom,1:39:44,5984,London Marathon,Men
Joël Jeannot,2003,France,1:32:02,5522,London Marathon,Men
Saúl Mendoza,2004,Mexico,1:36:56,5816,London Marathon,Men
Saúl Mendoza,2005,Mexico,1:35:51,5751,London Marathon,Men
David Weir,2006,United Kingdom,1:29:48,5388,London Marathon,Men
David Weir,2007,United Kingdom,1:30:51,5451,London Marathon,Men
David Weir,2008,United Kingdom,1:33:56,5636,London Marathon,Men
Kurt Fearnley,2009,Australia,1:28:57,5337,London Marathon,Men
Josh Cassidy,2010,Canada,1:35:21,5721,London Marathon,Men
David Weir,2011,United Kingdom,1:30:05,5405,London Marathon,Men
David Weir,2012,United Kingdom,1:32:26,5546,London Marathon,Men
Kurt Fearnley,2013,Australia,1:31:29,5489,London Marathon,Men
Marcel Hug,2014,Switzerland,1:32:41,5561,London Marathon,Men
Josh George,2015,United States,1:31:31,5491,London Marathon,Men
Marcel Hug,2016,Switzerland,1:35:19,5719,London Marathon,Men
David Weir,2017,United Kingdom,1:31:06,5466,London Marathon,Men
David Weir,2018,United Kingdom,1:31:15,5475,London Marathon,Men
Daniel Romanchuk,2019,United States,1:33:37,5617,London Marathon,Men
Denise Smith,1983,United Kingdom,4:29:03,16143,London Marathon,Women
Kay McShane,1984,Ireland,3:10:04,11404,London Marathon,Women
Kay McShane,1985,Ireland,2:47:12,10032,London Marathon,Women
Kay McShane,1986,Ireland,3:02:40,10960,London Marathon,Women
Karen Davidson,1987,United Kingdom,2:45:30,9930,London Marathon,Women
Karen Davidson,1988,United Kingdom,2:41:45,9705,London Marathon,Women
Josie Cichockyj,1989,United Kingdom,3:03:54,11034,London Marathon,Women
Connie Hansen,1990,Denmark,2:10:25,7825,London Marathon,Women
Connie Hansen,1991,Denmark,2:04:40,7480,London Marathon,Women
Tanni Grey-Thompson,1992,United Kingdom,2:17:23,8243,London Marathon,Women
Rose Hill,1993,United Kingdom,2:03:05,7385,London Marathon,Women
Tanni Grey-Thompson,1994,United Kingdom,2:08:26,7706,London Marathon,Women
Rose Hill,1995,United Kingdom,2:17:02,8222,London Marathon,Women
Tanni Grey-Thompson,1996,United Kingdom,2:00:10,7210,London Marathon,Women
Monica Wetterström,1997,Sweden,1:49:09,6549,London Marathon,Women
Tanni Grey-Thompson,1998,United Kingdom,2:02:01,7321,London Marathon,Women
Monica Wetterström,1999,Sweden,1:57:38,7058,London Marathon,Women
Sarah Piercy,2000,United Kingdom,2:23:30,8610,London Marathon,Women
Tanni Grey-Thompson,2001,United Kingdom,2:13:55,8035,London Marathon,Women
