last_name,first_name,davenport_id,mlb_id,retrosheet_id,lahman_id,bbref_id,bats,throws
Aardsma,David,AARDSMA19811227A,430911,aardd001,aardsda01,aardsda01,R,R
Aaron,Hank,AARON19340205A,110001,aaroh101,aaronha01,aaronha01,R,R
Aaron,Tommie,AARON19390805A,110002,aarot101,aaronto01,aaronto01,R,R
Aase,Don,AASE19540908A,110003,aased001,aasedo01,aasedo01,R,R
Abad,Andy,ABAD19720825A,407577,abada001,abadan01,abadan01,L,L
Abad,Fernando,ABAD19851217A,472551,abadf001,abadfe01,abadfe01,L,L
Abadie,John,ABADIE18541104A,110004,abadj101,abadijo01,abadijo01,R,R
Abbaticchio,Ed,ABBATICCH18770415A,110005,abbae101,abbated01,abbated01,R,R
Abbey,Bert,ABBEY18691129A,110006,abbeb101,abbeybe01,abbeybe01,R,R
Abbey,Charlie,ABBEY18661014A,110007,abbec101,abbeych01,abbeych01,L,L
Abbott,Dan,ABBOTT18620316A,110013,abbod101,abbotda01,abbotda01,R,R
Abbott,Fred,ABBOTT18741022A,110008,abbof101,abbotfr01,abbotfr01,R,R
Abbott,Glenn,ABBOTT19510216A,110016,abbog001,abbotgl01,abbotgl01,R,R
Abbott,Jim,ABBOTT19670919A,110009,abboj001,abbotji01,abbotji01,L,L
Abbott,Jeff,ABBOTT19720817A,110010,abboj002,abbotje01,abbotje01,R,L
Abbott,Kyle,ABBOTT19680000A,110012,abbok001,abbotky01,abbotky01,L,L
Abbott,Kurt,ABBOTT19690602A,110011,abbok002,abbotku01,abbotku01,R,R
Abbott,Ody,ABBOTT18880905A,110014,abboo101,abbotod01,abbotod01,L,R
Abbott,Paul,ABBOTT19670915A,110015,abbop001,abbotpa01,abbotpa01,R,R
Aber,Al,ABER19270731A,110017,abera101,aberal01,aberal01,L,L
Abernathy,Brent,ABERNATHY19770923A,150466,aberb001,abernbr01,abernbr01,R,R
Abernathie,Bill,ABERNATHI19290130A,110019,aberb101,abernbi01,abernbi01,R,R
Aberson,Cliff,ABERSON19210828A,110023,aberc101,aberscl01,aberscl01,R,R
