Year,driverId,position,time,lap,seconds
1996,villeneuve,1,1M 43.702S,1,103.702
1996,damon_hill,2,1M 44.243S,1,104.243
1996,irvine,3,1M 44.981S,1,104.981
1996,michael_schumacher,4,1M 45.188S,1,105.188
1996,alesi,5,1M 46.506S,1,106.506
1996,hakkinen,6,1M 48.43S,1,108.43
1996,barrichello,7,1M 49.058S,1,109.058
1996,frentzen,8,1M 49.468S,1,109.468
1996,berger,9,1M 49.726S,1,109.726
1996,salo,10,1M 50.436S,1,110.436
1996,verstappen,11,1M 50.93S,1,110.93
1996,panis,12,1M 51.529S,1,111.529
1996,fisichella,13,1M 52.69S,1,112.69
1996,katayama,14,1M 53.435S,1,113.435
1996,lamy,15,1M 54.047S,1,114.047
1996,rosset,16,1M 54.831S,1,114.831
1996,diniz,17,1M 56.143S,1,116.143
1996,brundle,18,1M 56.481S,1,116.481
1996,coulthard,19,1M 56.926S,1,116.926
1996,villeneuve,1,1M 37.036S,2,97.036
1996,damon_hill,2,1M 37.214S,2,97.214
1996,michael_schumacher,3,1M 37.68S,2,97.68
1996,irvine,4,1M 38.558S,2,98.558
1996,alesi,5,1M 37.554S,2,97.554
1996,hakkinen,6,1M 39.275S,2,99.275
1996,barrichello,7,1M 39.119S,2,99.119
1996,frentzen,8,1M 39.594S,2,99.594
1996,berger,9,1M 39.613S,2,99.613
1996,salo,10,1M 39.509S,2,99.509
1996,verstappen,11,1M 39.763S,2,99.763
1996,panis,12,1M 39.686S,2,99.686
1996,fisichella,13,1M 40.332S,2,100.332
1996,katayama,14,1M 40.723S,2,100.723
1996,lamy,15,1M 40.702S,2,100.702
1996,rosset,16,1M 40.693S,2,100.693
1996,diniz,17,1M 41.2S,2,101.2
1996,coulthard,18,1M 41.839S,2,101.839
1996,villeneuve,1,1M 35.959S,3,95.959
1996,damon_hill,2,1M 36.249S,3,96.249
1996,michael_schumacher,3,1M 35.759S,3,95.759
1996,irvine,4,1M 36.736S,3,96.736
1996,alesi,5,1M 36.83S,3,96.83
1996,hakkinen,6,1M 38.102S,3,98.102
1996,barrichello,7,1M 38.282S,3,98.282
1996,berger,8,1M 38.318S,3,98.318
1996,frentzen,9,1M 39.949S,3,99.949
1996,salo,10,1M 39.561S,3,99.561
1996,verstappen,11,1M 39.376S,3,99.376
1996,panis,12,1M 39.346S,3,99.346
1996,fisichella,13,1M 39.018S,3,99.018
1996,katayama,14,1M 38.735S,3,98.735
1996,lamy,15,1M 39.921S,3,99.921
1996,rosset,16,1M 39.755S,3,99.755
1996,diniz,17,1M 38.49S,3,98.49
1996,coulthard,18,1M 40.412S,3,100.412
1996,villeneuve,1,1M 35.648S,4,95.648
1996,damon_hill,2,1M 35.687S,4,95.687
1996,michael_schumacher,3,1M 35.467S,4,95.467
1996,irvine,4,1M 36.177S,4,96.177
1996,alesi,5,1M 36.437S,4,96.437
1996,hakkinen,6,1M 37.784S,4,97.784
