Year,Team,Sport,Result,Metropolitan area,Country,Population (2016 est)
1967,Green Bay Packers,NFL,Champion,Green Bay,United States,318236
1968,Green Bay Packers,NFL,Champion,Green Bay,United States,318236
1969,New York Jets,NFL,Champion,New York City,United States,20153634
1970,Kansas City Chiefs,NFL,Champion,Kansas City,United States,2104509
1971,Baltimore Colts,NFL,Champion,Baltimore,United States,2798886
1972,Dallas Cowboys,NFL,Champion,Dallas–Fort Worth,United States,7233323
1973,Miami Dolphins,NFL,Champion,Miami–Fort Lauderdale,United States,6066387
1974,Miami Dolphins,NFL,Champion,Miami–Fort Lauderdale,United States,6066387
1975,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
1976,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
1977,Oakland Raiders,NFL,Champion,San Francisco Bay Area,United States,6657982
1978,Dallas Cowboys,NFL,Champion,Dallas–Fort Worth,United States,7233323
1979,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
1980,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
1981,Oakland Raiders,NFL,Champion,San Francisco Bay Area,United States,6657982
1982,San Francisco 49ers,NFL,Champion,San Francisco Bay Area,United States,6657982
1983,Washington Redskins,NFL,Champion,"Washington, D.C.",United States,6131977
1984,Los Angeles Raiders,NFL,Champion,Los Angeles,United States,13310447
1985,San Francisco 49ers,NFL,Champion,San Francisco Bay Area,United States,6657982
1986,Chicago Bears,NFL,Champion,Chicago,United States,9512999
1987,New York Giants,NFL,Champion,New York City,United States,20153634
1988,Washington Redskins,NFL,Champion,"Washington, D.C.",United States,6131977
1989,San Francisco 49ers,NFL,Champion,San Francisco Bay Area,United States,6657982
1990,San Francisco 49ers,NFL,Champion,San Francisco Bay Area,United States,6657982
1991,New York Giants,NFL,Champion,New York City,United States,20153634
1992,Washington Redskins,NFL,Champion,"Washington, D.C.",United States,6131977
1993,Dallas Cowboys,NFL,Champion,Dallas–Fort Worth,United States,7233323
1994,Dallas Cowboys,NFL,Champion,Dallas–Fort Worth,United States,7233323
1995,San Francisco 49ers,NFL,Champion,San Francisco Bay Area,United States,6657982
1996,Dallas Cowboys,NFL,Champion,Dallas–Fort Worth,United States,7233323
1997,Green Bay Packers,NFL,Champion,Green Bay,United States,318236
1998,Denver Broncos,NFL,Champion,Denver,United States,2853077
1999,Denver Broncos,NFL,Champion,Denver,United States,2853077
2000,St. Louis Rams,NFL,Champion,St. Louis,United States,2807002
2001,Baltimore Ravens,NFL,Champion,Baltimore,United States,2798886
2002,New England Patriots,NFL,Champion,Boston,United States,4794447
2003,Tampa Bay Buccaneers,NFL,Champion,Tampa Bay Area,United States,3032171
2004,New England Patriots,NFL,Champion,Boston,United States,4794447
2005,New England Patriots,NFL,Champion,Boston,United States,4794447
2006,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
2007,Indianapolis Colts,NFL,Champion,Indianapolis,United States,2004230
2008,New York Giants,NFL,Champion,New York City,United States,20153634
2009,Pittsburgh Steelers,NFL,Champion,Pittsburgh,United States,2342299
2010,New Orleans Saints,NFL,Champion,New Orleans,United States,1268883
2011,Green Bay Packers,NFL,Champion,Green Bay,United States,318236
2012,New York Giants,NFL,Champion,New York City,United States,20153634
2013,Baltimore Ravens,NFL,Champion,Baltimore,United States,2798886
