Run Date,Event,Gender,Rk,Bib Number,Run,Country Code,Name,Start Time (Rk),Interval 1 Time (Rk),Interval 2 Time (Rk),Interval 3 Time (Rk),Sp (km/h),Speed (mph),Finish Time (Rk),Time Behind,Total Run Time,Medal
2/10/2018,Olympic Games - Pyeongchang,M,1,11,1,AUT,GLEIRSCHER David,2.599 14,15.059 10,27.397 5,37.147 3,121.5,75.5,47.652 1,0,3:10.702,1
2/10/2018,Olympic Games - Pyeongchang,M,1,11,2,AUT,GLEIRSCHER David,2.596 13,15.053 10,27.457 11,37.264 11,121,75.2,47.835 7,+0.210,3:10.702,1
2/11/2018,Olympic Games - Pyeongchang,M,1,11,3,AUT,GLEIRSCHER David,2.589 9,15.045 6,27.360 6,37.093 6,120.9,75.1,47.584 4,+0.050,3:10.702,1
2/11/2018,Olympic Games - Pyeongchang,M,1,11,4,AUT,GLEIRSCHER David,2.595 8,15.047 5,27.365 2,37.119 5,121.6,75.6,47.631 4,+0.156,3:10.702,1
2/10/2018,Olympic Games - Pyeongchang,M,2,13,1,USA,MAZDZER Chris,2.581  7,15.033  5,27.413 8,37.180 4,124.7,77.5,47.800 5,+0.148,3:10.728,2
2/10/2018,Olympic Games - Pyeongchang,M,2,13,2,USA,MAZDZER Chris,2.577  3,15.020 5,27.384 3,37.155 3,123,76.4,47.717 2,+0.092,3:10.728,2
2/11/2018,Olympic Games - Pyeongchang,M,2,13,3,USA,MAZDZER Chris,2.584 6,15.016 4,27.322 4,37.036 2,124.8,77.5,47.534 1,0,3:10.728,2
2/11/2018,Olympic Games - Pyeongchang,M,2,13,4,USA,MAZDZER Chris,2.585 4,15.046 4,27.388 5,37.137 7,124.4,77.3,47.677 7,+0.202,3:10.728,2
2/10/2018,Olympic Games - Pyeongchang,M,3,3,1,GER,LUDWIG Johannes,2.570  2,14.934 1,27.308 1,37.120 2,123.7,76.8,47.764 3,+0.112,3:10.932,3
2/10/2018,Olympic Games - Pyeongchang,M,3,3,2,GER,LUDWIG Johannes,2.594 10,15.008 3,27.432 9,37.275 13,123.3,76.6,47.940 14,+0.315,3:10.932,3
2/11/2018,Olympic Games - Pyeongchang,M,3,3,3,GER,LUDWIG Johannes,2.592 10,14.989 3,27.318 3,37.058 4,123.9,77,47.625 6,+0.091,3:10.932,3
2/11/2018,Olympic Games - Pyeongchang,M,3,3,4,GER,LUDWIG Johannes,2.598 9,15.006 1,27.349 1,37.084 3,124.8,77.5,47.603 3,+0.128,3:10.932,3
2/10/2018,Olympic Games - Pyeongchang,M,4,4,1,ITA,FISCHNALLER Dominik,2.617 19,15.040 8,27.511 17,37.320 11,122.4,76.1,47.930 10,+0.278,3:10.934,0
2/10/2018,Olympic Games - Pyeongchang,M,4,4,2,ITA,FISCHNALLER Dominik,2.624 20,15.051 8,27.405 5,37.263 10,125.4,77.9,47.967 16,+0.342,3:10.934,0
2/11/2018,Olympic Games - Pyeongchang,M,4,4,3,ITA,FISCHNALLER Dominik,2.597 12,15.055 7,27.356 5,37.066 5,125.7,78.1,47.562 3,+0.028,3:10.934,0
2/11/2018,Olympic Games - Pyeongchang,M,4,4,4,ITA,FISCHNALLER Dominik,2.607 11,15.070 8,27.380 4,37.038 1,120.5,74.9,47.475 1,0.000 TR,3:10.934,0
2/10/2018,Olympic Games - Pyeongchang,M,5,5,1,GER,LOCH Felix,2.592 11,15.009 4,27.339 2,37.107 1,124.7,77.5,47.674 2,+0.022,3:10.968,0
2/10/2018,Olympic Games - Pyeongchang,M,5,5,2,GER,LOCH Felix,2.593  8,15.041  6,27.373 2,37.120 1,124.2,77.1,47.625 1,0,3:10.968,0
2/11/2018,Olympic Games - Pyeongchang,M,5,5,3,GER,LOCH Felix,2.569 3,14.987 2,27.278 1,36.997 1,124.4,77.3,47.560 2,+0.026,3:10.968,0
2/11/2018,Olympic Games - Pyeongchang,M,5,5,4,GER,LOCH Felix,2.607 11,15.041 3,27.376 3,37.296 17,125.4,77.9,48.109 19,+0.634,3:10.968,0
2/10/2018,Olympic Games - Pyeongchang,M,6,19,1,CAN,EDNEY Sam,2.589 10,15.076 14,27.433 9,37.234 7,123.6,76.8,47.862 9,+0.210,3:11.021,0
2/10/2018,Olympic Games - Pyeongchang,M,6,19,2,CAN,EDNEY Sam,2.593  8,15.080 14,27.419  7,37.170 4,126.2,78.4,47.755 4,+0.130,3:11.021,0
2/11/2018,Olympic Games - Pyeongchang,M,6,19,3,CAN,EDNEY Sam,2.594 11,15.098 13,27.428 9,37.184 8,120.7,75,47.759 10,+0.225,3:11.021,0
2/11/2018,Olympic Games - Pyeongchang,M,6,19,4,CAN,EDNEY Sam,2.599 10,15.091 10,27.404 7,37.130 6,119.6,74.3,47.645 6,+0.170,3:11.021,0
2/10/2018,Olympic Games - Pyeongchang,M,7,14,1,ITA,FISCHNALLER Kevin,2.618 22,15.114 18,27.508 14,37.274  8,124.2,77.1,47.853 8,+0.201,3:11.054,0
