"Rk","Country","Gold","Silver","Bronze","Total","Year"
1,"Norway",4,7,6,17,1924
2,"Finland",4,4,3,11,1924
3,"United States",1,2,1,4,1924
4,"Great Britain",1,1,2,4,1924
5,"Austria",2,1,0,3,1924
6,"Switzerland",2,0,1,3,1924
7,"France",0,0,3,3,1924
8,"Sweden",1,1,0,2,1924
9,"Canada",1,0,0,1,1924
10,"Mixed team",1,0,0,1,1924
11,"Belgium",0,0,1,1,1924
1,"Norway",6,4,5,15,1928
2,"United States",2,2,2,6,1928
3,"Sweden",2,2,1,5,1928
4,"Finland",2,1,1,4,1928
5,"Austria",0,3,1,4,1928
6,"France",1,0,0,1,1928
7,"Canada",1,0,0,1,1928
8,"Great Britain",0,0,1,1,1928
9,"Germany",0,0,1,1,1928
10,"Czechoslovakia",0,0,1,1,1928
11,"Belgium",0,0,1,1,1928
12,"Switzerland",0,0,1,1,1928
1,"United States",6,4,2,12,1932
2,"Norway",3,4,3,10,1932
3,"Canada",1,1,5,7,1932
4,"Sweden",1,2,0,3,1932
5,"Finland",1,1,1,3,1932
6,"Austria",1,1,0,2,1932
7,"Germany",0,0,2,2,1932
8,"France",1,0,0,1,1932
9,"Switzerland",0,1,0,1,1932
10,"Hungary",0,0,1,1,1932
1,"Norway",7,5,3,15,1936
2,"Sweden",2,2,3,7,1936
3,"Germany",3,3,0,6,1936
4,"Finland",1,2,3,6,1936
5,"Austria",1,1,2,4,1936
6,"United States",1,0,3,4,1936
7,"Switzerland",1,2,0,3,1936
8,"Great Britain",1,1,1,3,1936
9,"Canada",0,1,0,1,1936
10,"France",0,0,1,1,1936
11,"Hungary",0,0,1,1,1936
1,"Norway",4,3,3,10,1948
2,"Sweden",4,3,3,10,1948
3,"Switzerland",3,4,3,10,1948
4,"United States",3,4,2,9,1948
5,"Austria",1,3,4,8,1948
6,"Finland",1,3,2,6,1948
7,"France",2,1,2,5,1948
8,"Canada",2,0,1,3,1948
9,"Belgium",1,1,0,2,1948
10,"Great Britain",0,0,2,2,1948
11,"Italy",1,0,0,1,1948
12,"Hungary",0,1,0,1,1948
13,"Czechoslovakia",0,1,0,1,1948
1,"Norway",7,3,6,16,1952
2,"United States",4,6,1,11,1952
3,"Finland",3,4,2,9,1952
4,"Austria",2,4,2,8,1952
5,"Germany",3,2,2,7,1952
6,"Sweden",0,0,4,4,1952
7,"Netherlands",0,3,0,3,1952
8,"Italy",1,0,1,2,1952
9,"Canada",1,0,1,2,1952
10,"Switzerland",0,0,2,2,1952
11,"Great Britain",1,0,0,1,1952
12,"France",0,0,1,1,1952
13,"Hungary",0,0,1,1,1952
1,"Soviet Union",7,3,6,16,1956
2,"Austria",4,3,4,11,1956
3,"Sweden",2,4,4,10,1956
4,"Finland",3,3,1,7,1956
5,"United States",2,3,2,7,1956
6,"Switzerland",3,2,1,6,1956
7,"Norway",2,1,1,4,1956
8,"Italy",1,2,0,3,1956
9,"Canada",0,1,2,3,1956
10,"Germany",1,0,1,2,1956
11,"Japan",0,1,0,1,1956
12,"Poland",0,0,1,1,1956
13,"Hungary",0,0,1,1,1956
1,"Soviet Union",7,5,9,21,1960
2,"United States",3,4,3,10,1960
3,"Germany",4,3,1,8,1960
4,"Finland",2,3,3,8,1960
5,"Sweden",3,2,2,7,1960
6,"Norway",3,3,0,6,1960
7,"Austria",1,2,3,6,1960
8,"Canada",2,1,1,4,1960
9,"France",1,0,2,3,1960
10,"Switzerland",2,0,0,2,1960
11,"Netherlands",0,1,1,2,1960
12,"Poland",0,1,1,2,1960
13,"Czechoslovakia",0,1,0,1,1960
14,"Italy",0,0,1,1,1960
1,"Soviet Union",11,8,6,25,1964
2,"Norway",3,6,6,15,1964
3,"Austria",4,5,3,12,1964
4,"Finland",3,4,3,10,1964
5,"Germany",3,3,3,9,1964
6,"France",3,4,0,7,1964
7,"Sweden",3,3,1,7,1964
8,"United States",1,2,4,7,1964
9,"Italy",0,1,3,4,1964
10,"Canada",1,1,1,3,1964
11,"Netherlands",1,1,0,2,1964
12,"Great Britain",1,0,0,1,1964
13,"North Korea",0,1,0,1,1964
14,"Czechoslovakia",0,0,1,1,1964
1,"Norway",6,6,2,14,1968
2,"Soviet Union",5,5,3,13,1968
3,"Austria",3,4,4,11,1968
4,"France",4,3,2,9,1968
5,"Netherlands",3,3,3,9,1968
6,"Sweden",3,2,3,8,1968
7,"West Germany",2,2,3,7,1968
8,"United States",1,5,1,7,1968
9,"Switzerland",0,2,4,6,1968
10,"East Germany",1,2,2,5,1968
11,"Finland",1,2,2,5,1968
12,"Italy",4,0,0,4,1968
13,"Czechoslovakia",1,2,1,4,1968
14,"Canada",1,1,1,3,1968
15,"Romania",0,0,1,1,1968
1,"Soviet Union",8,5,3,16,1972
2,"East Germany",4,3,7,14,1972
3,"Norway",2,5,5,12,1972
4,"Switzerland",4,3,3,10,1972
5,"Netherlands",4,3,2,9,1972
6,"United States",3,2,3,8,1972
7,"West Germany",3,1,1,5,1972
8,"Italy",2,2,1,5,1972
9,"Austria",1,2,2,5,1972
10,"Finland",0,4,1,5,1972
11,"Sweden",1,1,2,4,1972
12,"Japan",1,1,1,3,1972
13,"Czechoslovakia",1,0,2,3,1972
14,"France",0,1,2,3,1972
15,"Poland",1,0,0,1,1972
16,"Spain",1,0,0,1,1972
17,"Canada",0,1,0,1,1972
1,"Soviet Union",13,6,8,27,1976
2,"East Germany",7,5,7,19,1976
3,"United States",3,3,4,10,1976
4,"West Germany",2,5,3,10,1976
5,"Norway",3,3,1,7,1976
6,"Finland",2,4,1,7,1976
7,"Austria",2,2,2,6,1976
8,"Netherlands",1,2,3,6,1976
9,"Switzerland",1,3,1,5,1976
10,"Italy",1,2,1,4,1976
11,"Canada",1,1,1,3,1976
12,"Sweden",0,0,2,2,1976
13,"Liechtenstein",0,0,2,2,1976
14,"Great Britain",1,0,0,1,1976
15,"Czechoslovakia",0,1,0,1,1976
16,"France",0,0,1,1,1976
1,"East Germany",9,7,7,23,1980
2,"Soviet Union",10,6,6,22,1980
3,"United States",6,4,2,12,1980
4,"Norway",1,3,6,10,1980
5,"Finland",1,5,3,9,1980
6,"Austria",3,2,2,7,1980
7,"Switzerland",1,1,3,5,1980
8,"West Germany",0,2,3,5,1980
9,"Sweden",3,0,1,4,1980
10,"Liechtenstein",2,2,0,4,1980
11,"Netherlands",1,2,1,4,1980
12,"Italy",0,2,0,2,1980
13,"Canada",0,1,1,2,1980
14,"Great Britain",1,0,0,1,1980
15,"Japan",0,1,0,1,1980
16,"Hungary",0,1,0,1,1980
17,"France",0,0,1,1,1980
18,"Bulgaria",0,0,1,1,1980
19,"Czechoslovakia",0,0,1,1,1980
1,"Soviet Union",6,10,9,25,1984
2,"East Germany",9,9,6,24,1984
3,"Finland",4,3,6,13,1984
4,"Norway",3,2,4,9,1984
5,"United States",4,4,0,8,1984
6,"Sweden",4,2,2,8,1984
