Division,Rank,Name
Men's Pound-for-Pound,1,Jon Jones
Men's Pound-for-Pound,2,Kamaru Usman
Men's Pound-for-Pound,3,Israel Adesanya
Men's Pound-for-Pound,4,Alexander Volkanovski
Men's Pound-for-Pound,5,Francis Ngannou
Men's Pound-for-Pound,6,Dustin Poirier
Men's Pound-for-Pound,7,Jan Blachowicz
Men's Pound-for-Pound,8,Stipe Miocic
Men's Pound-for-Pound,9,Max Holloway
Men's Pound-for-Pound,10,Charles Oliveira
Men's Pound-for-Pound,11,Brandon Moreno
Men's Pound-for-Pound,12,Robert Whittaker
Men's Pound-for-Pound,13,Petr Yan
Men's Pound-for-Pound,14,Justin Gaethje
Men's Pound-for-Pound,15,Aljamain Sterling
Flyweight,Champion,Brandon  Moreno
Flyweight,1,Deiveson Figueiredo
Flyweight,2,Askar Askarov
Flyweight,3,Alexandre Pantoja
Flyweight,4,Alex Perez
Flyweight,5,Joseph Benavidez
Flyweight,6,Brandon Royval
Flyweight,7,Kai Kara France
Flyweight,8,Rogerio Bontorin
Flyweight,9,Matt Schnell
Flyweight,10,Tim Elliott
Flyweight,11,David Dvorak
Flyweight,12,Matheus Nicolau
Flyweight,13,Sumudaerji
Flyweight,14,Amir Albazi
Flyweight,15,Tyson Nam
Bantamweight,Champion,Aljamain Sterling
Bantamweight,1,Petr Yan
Bantamweight,2,T.J. Dillashaw
Bantamweight,3,Cory Sandhagen
Bantamweight,4,Rob Font
Bantamweight,5,Jose Aldo
Bantamweight,6,Cody Garbrandt
Bantamweight,7,Marlon Moraes
Bantamweight,8,Frankie Edgar
Bantamweight,9,Pedro Munhoz
Bantamweight,10,Dominick Cruz
Bantamweight,11,Merab Dvalishvili
Bantamweight,12,Raphael Assuncao
Bantamweight,13,Jimmie Rivera
Bantamweight,14,Marlon Vera
Bantamweight,15,Cody Stamann
Featherweight,Champion,Alexander Volkanovski
Featherweight,1,Max Holloway
Featherweight,2,Brian Ortega
Featherweight,3,Yair Rodriguez
Featherweight,4,Chan Sung Jung
Featherweight,5,Calvin Kattar
Featherweight,6,Arnold Allen
Featherweight,7,Josh Emmett
Featherweight,8,Dan Ige
Featherweight,9,Edson Barboza
Featherweight,10,Giga Chikadze
Featherweight,11,Bryce Mitchell
Featherweight,12,Sodiq Yusuff
Featherweight,13,Movsar Evloev
Featherweight,14,Shane Burgos
Featherweight,15,Ilia Topuria
Lightweight,Champion,Charles Oliveira
Lightweight,1,Dustin Poirier
Lightweight,2,Justin Gaethje
Lightweight,3,Beneil Dariush
Lightweight,4,Michael Chandler
Lightweight,5,Islam Makhachev
Lightweight,6,Tony Ferguson
Lightweight,7,Rafael Dos Anjos
Lightweight,8,Dan Hooker
Lightweight,9,Conor McGregor
Lightweight,10,Gregor Gillespie
Lightweight,11,Kevin Lee
Lightweight,12,Diego Ferreira
Lightweight,13,Brad Riddell
Lightweight,14,Arman Tsarukyan
Lightweight,15,Thiago Moises
Welterweight,Champion,Kamaru Usman
Welterweight,1,Colby Covington
Welterweight,2,Gilbert Burns
Welterweight,3,Leon Edwards
Welterweight,4,Stephen Thompson
Welterweight,5,Michael Chiesa
Welterweight,6,Vicente Luque
Welterweight,7,Jorge Masvidal
Welterweight,8,Neil Magny
Welterweight,9,Belal Muhammad
Welterweight,10,Geoff Neal
Welterweight,11,Demian Maia
Welterweight,12,Jingliang Li
Welterweight,13,Santiago Ponzinibbio
Welterweight,14,Sean Brady
Welterweight,15,Muslim Salikhov
Middleweight,Champion,Israel Adesanya
Middleweight,1,Robert Whittaker
Middleweight,2,Paulo Costa
Middleweight,3,Jared Cannonier
Middleweight,4,Marvin Vettori
Middleweight,5,Derek Brunson
Middleweight,6,Jack Hermansson
Middleweight,7,Darren Till
Middleweight,8,Uriah Hall
Middleweight,9,Kelvin Gastelum
Middleweight,10,Edmen Shahbazyan
