Name,Division,Wins,Loses,Draws,Nickname,Height,Weight,Reach,Stance,DOB
Aalon Cruz,Lightweight,8,4,0,NA,"6' 0""",145 lbs.,"78""",Switch,1989-09-20
Aaron Jeffery,Middleweight,6,1,0,NA,"6' 2""",185 lbs.,"74""",Orthodox,1992-11-14
Aaron Phillips,Bantamweight,12,4,0,The Dragon,"5' 9""",135 lbs.,"71""",Southpaw,1989-08-05
Abdul Razak Alhassan,Middleweight,10,4,0,NA,"5' 10""",170 lbs.,"73""",Orthodox,1985-08-11
Abdul-Kerim Edilov,Light Heavyweight,16,4,0,NA,"6' 2""",205 lbs.,,Orthodox,1991-11-25
Abu Azaitar,Middleweight,14,3,1,Captain Morocco,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10
Abubakar Nurmagomedov,Welterweight,16,3,1,NA,"5' 11""",170 lbs.,"72""",Orthodox,1989-11-13
Adam Milstead,Light Heavyweight,8,3,0,The Prototype,"6' 3""",205 lbs.,"76""",Orthodox,1987-07-03
Adam Wieczorek,Heavyweight,10,2,0,Siwy,"6' 5""",250 lbs.,"81""",Orthodox,1992-02-05
Adam Yandiev,Middleweight,9,1,0,NA,"5' 9""",185 lbs.,"74""",Orthodox,1988-08-07
Adlan Amagov,Welterweight,13,2,1,Borz,"6' 2""",170 lbs.,"76""",Orthodox,1986-10-30
Adrian Yanez,Bantamweight,14,3,0,NA,"5' 7""",135 lbs.,"70""",Orthodox,1993-11-29
Aiemann Zahabi,Bantamweight,8,2,0,NA,"5' 8""",135 lbs.,"68""",Orthodox,1987-11-19
Aisling Daly,Women's Strawweight,16,5,0,Ais the Bash,"5' 2""",115 lbs.,"64""",Orthodox,1987-12-24
Al Iaquinta,Lightweight,14,6,1,Raging,"5' 10""",155 lbs.,"70""",Orthodox,1987-04-30
Alan Baudot,Heavyweight,8,3,0,The Black Samourai,"6' 3""",243 lbs.,"79""",Orthodox,1988-02-01
Alan Belcher,Middleweight,17,7,0,The Talent,"6' 2""",185 lbs.,"75""",Orthodox,1984-04-24
Alan Jouban,Welterweight,17,7,0,Brahma,"6' 0""",170 lbs.,"73""",Southpaw,1981-11-25
Alan Patrick,Lightweight,15,3,0,Nuguette,"5' 11""",155 lbs.,"74""",Southpaw,1983-07-19
Alberto Emiliano Pereira,Middleweight,9,2,0,Uda,,,,,
Alberto Mina,Welterweight,13,1,0,Soldier of God,"6' 0""",170 lbs.,"77""",Orthodox,1982-05-02
Alejandro Perez,Bantamweight,22,8,1,Turbo,"5' 6""",145 lbs.,"67""",Orthodox,1989-09-02
Aleksa Camur,Light Heavyweight,6,2,0,NA,"6' 1""",205 lbs.,"74""",Orthodox,1995-09-25
Aleksandar Rakic,Light Heavyweight,14,2,0,NA,"6' 4""",205 lbs.,"78""",Orthodox,1992-02-06
Aleksander Doskalchuk,Flyweight,10,2,0,NA,"5' 6""",125 lbs.,,Southpaw,1990-03-13
Aleksandra Albu,Women's Strawweight,7,2,0,Stitch,"5' 2""",115 lbs.,"63""",Orthodox,1990-07-14
Alen Amedovski,Middleweight,8,2,0,NA,"5' 10""",185 lbs.,"74""",Orthodox,1988-04-06
Alessio Di Chirico,Middleweight,13,5,0,Manzo,"6' 0""",185 lbs.,"74""",Orthodox,1989-12-12
Alex Caceres,Featherweight,18,12,0,Bruce Leeroy,"5' 10""",145 lbs.,"73""",Southpaw,1988-06-20
Alex Chambers,Women's Strawweight,5,4,0,Astro Girl,"5' 3""",115 lbs.,"63""",Southpaw,1978-10-25
Alex da Silva Coelho,Lightweight,21,2,0,Leko,"5' 8""",155 lbs.,"73""",Orthodox,1996-02-04
Alex Garcia,Welterweight,15,5,0,The Dominican Nightmare,"5' 9""",170 lbs.,"72""",Orthodox,1987-07-14
Alex Gorgees,Lightweight,7,1,0,Hitman,"6' 2""",155 lbs.,"74""",Switch,1995-08-11
Alex Morono,Welterweight,19,7,0,The Great White,"5' 11""",170 lbs.,"72""",Orthodox,1990-08-16
Alex Munoz,Lightweight,6,2,0,NA,"5' 9""",155 lbs.,"72""",Switch,1990-02-27
Alex Oliveira,Welterweight,22,10,1,Cowboy,"5' 11""",170 lbs.,"76""",Orthodox,1988-02-21
Alex Perez,Flyweight,24,6,0,NA,"5' 6""",125 lbs.,"65""",Orthodox,1992-03-21
Alex Reyes,Lightweight,13,3,0,The Executioner,"5' 11""",170 lbs.,"73""",Orthodox,1986-10-02
Alex White,Lightweight,13,6,0,The Spartan,"6' 0""",155 lbs.,"71""",Southpaw,1988-10-22
Alexa Grasso,Women's Flyweight,13,3,0,NA,"5' 5""",125 lbs.,"66""",Orthodox,1993-08-09
Alexander Gustafsson,Heavyweight,18,7,0,The Mauler,"6' 5""",205 lbs.,"79""",Orthodox,1987-01-15
Alexander Hernandez,Lightweight,12,4,0,The Great,"5' 9""",155 lbs.,"72""",Orthodox,1992-10-01
Alexander Romanov,Heavyweight,14,0,0,King Kong,"6' 2""",262 lbs.,"75""",Southpaw,1990-12-11
Alexander Volkanovski,Featherweight,22,1,0,The Great,"5' 6""",145 lbs.,"71""",Orthodox,1988-09-29
Alexander Volkov,Heavyweight,33,9,0,Drago,"6' 7""",250 lbs.,"80""",Orthodox,1988-10-24
Alexander Yakovlev,Lightweight,24,10,1,Russian Thunder,"6' 3""",155 lbs.,"74""",Southpaw,1984-07-18
Alexandre Pantoja,Flyweight,23,5,0,The Cannibal,"5' 5""",125 lbs.,"67""",Orthodox,1990-04-16
Alexey Kunchenko,Welterweight,20,2,0,NA,"5' 8""",170 lbs.,"70""",Orthodox,1984-05-02
Alexey Oleinik,Heavyweight,59,16,1,The Boa Constrictor,"6' 2""",240 lbs.,"80""",Orthodox,1977-06-20
Alexis Davis,Women's Bantamweight,20,11,0,NA,"5' 6""",135 lbs.,"68""",Orthodox,1984-10-04
Ali AlQaisi,Bantamweight,8,5,0,The Royal Fighter,"5' 6""",135 lbs.,"68""",Orthodox,1990-09-23
Aliaskhab Khizriev,Middleweight,13,0,0,Black Wolf,"5' 9""",185 lbs.,"74""",Southpaw,1990-08-24
Alistair Overeem,Heavyweight,47,19,0,The Demolition Man,"6' 4""",265 lbs.,"80""",Orthodox,1980-05-17
Aljamain Sterling,Bantamweight,20,3,0,Funk Master,"5' 7""",135 lbs.,"71""",Orthodox,1989-07-31
Allan Nascimento,Flyweight,0,0,0,Puro Osso,"5' 9""",125 lbs.,,Orthodox,1991-09-11
Allen Crowder,Heavyweight,10,3,0,Pretty Boy,"6' 3""",245 lbs.,"76""",Orthodox,1989-11-08
Alonzo Menifield,Light Heavyweight,10,2,0,Atomic,"6' 0""",205 lbs.,"76""",Orthodox,1987-10-18
Alvaro Herrera,Welterweight,9,6,0,Chango,,,,,
Amanda Bobby Brundage,Women's Strawweight,4,5,0,ABC,"5' 3""",115 lbs.,"64""",Switch,1991-10-22
Amanda Lemos,Women's Strawweight,10,1,1,NA,"5' 4""",115 lbs.,"65""",Southpaw,1987-05-22
Amanda Nunes,Women's Bantamweight,21,4,0,The Lioness,"5' 8""",145 lbs.,"69""",Orthodox,1988-05-30
Amanda Ribas,Women's Strawweight,10,2,0,NA,"5' 3""",125 lbs.,"66""",Orthodox,1993-08-26
Amir Albazi,Flyweight,14,1,0,The Prince,"5' 5""",125 lbs.,"68""",Orthodox,1993-10-27
Anderson dos Santos,Bantamweight,21,8,0,Berinja,"5' 5""",135 lbs.,"70""",Orthodox,1985-07-24
Anderson Silva,Middleweight,34,11,0,The Spider,"6' 2""",185 lbs.,"77""",Southpaw,1975-04-14
Andre Ewell,Bantamweight,17,8,0,Mr. Highlight,"5' 8""",135 lbs.,"75""",Southpaw,1988-01-21
Andre Fili,Featherweight,21,8,0,Touchy,"5' 11""",145 lbs.,"74""",Orthodox,1990-06-25
Andre Muniz,Middleweight,21,4,0,Sergipano,"6' 1""",185 lbs.,"78""",Southpaw,1990-02-17
Andre Soukhamthath,Bantamweight,13,7,0,The Asian Sensation,"5' 9""",135 lbs.,"70""",Orthodox,1988-10-23
Andrea Lee,Women's Flyweight,12,5,0,KGB,"5' 6""",125 lbs.,"69""",Orthodox,1989-02-11
Andreas Michailidis,Middleweight,13,4,0,The Spartan,"6' 0""",185 lbs.,"76""",Orthodox,1988-07-18
Andrei Arlovski,Heavyweight,31,20,0,The Pit Bull,"6' 3""",240 lbs.,"77""",Orthodox,1979-02-04
Andrew Sanchez,Middleweight,13,6,0,El Dirte,"6' 1""",185 lbs.,"74""",Orthodox,1988-04-08
Angela Hill,Women's Strawweight,13,9,0,Overkill,"5' 3""",115 lbs.,"64""",Orthodox,1985-01-12
Anna Elmose,Women's Strawweight,3,2,0,Panda,"5' 3""",115 lbs.,,Orthodox,1984-10-06
Ante Delija,Heavyweight,17,3,0,Walking Trouble,"6' 4""",245 lbs.,,Orthodox,1990-08-07
Anthony Birchak,Bantamweight,16,8,0,El Toro,"5' 8""",135 lbs.,"69""",Orthodox,1986-05-16
Anthony Hernandez,Middleweight,8,2,0,Fluffy,"6' 0""",185 lbs.,"75""",Orthodox,1993-10-18
Anthony Ivy,Welterweight,8,4,0,Aquaman,"6' 2""",185 lbs.,"74""",Orthodox,1990-01-23
Anthony Johnson,Light Heavyweight,22,6,0,Rumble,"6' 2""",205 lbs.,"78""",Orthodox,1984-03-06
Anthony Pettis,Welterweight,23,10,0,Showtime,"5' 10""",155 lbs.,"72""",Orthodox,1987-01-27
Anthony Rocco Martin,Welterweight,17,6,0,NA,"6' 0""",170 lbs.,"73""",Orthodox,1989-12-11
Anthony Smith,Light Heavyweight,35,16,0,Lionheart,"6' 4""",205 lbs.,"76""",Orthodox,1988-07-26
Antonina Shevchenko,Women's Flyweight,9,3,0,La Pantera,"5' 8""",125 lbs.,"67""",Southpaw,1984-11-20
Antonio Arroyo,Middleweight,9,4,0,NA,"6' 3""",185 lbs.,"73""",Orthodox,1989-07-01
Antonio Braga Neto,Middleweight,9,3,0,NA,"6' 3""",185 lbs.,"77""",Orthodox,1987-10-29
Antonio Carlos Jr.,Middleweight,11,4,0,Cara de Sapato,"6' 2""",185 lbs.,"79""",Orthodox,1990-03-16
Antonio Rodrigo Nogueira,Heavyweight,34,10,1,Minotauro,"6' 3""",240 lbs.,"77""",Orthodox,1976-06-02
Antonio Rogerio Nogueira,Light Heavyweight,23,10,0,Minotouro,"6' 2""",205 lbs.,"75""",Southpaw,1976-06-02
Ariane Carnelossi,Women's Strawweight,13,2,0,Sorriso,"5' 2""",115 lbs.,"61""",Orthodox,1992-11-17
Ariane Lipski,Women's Flyweight,13,7,0,Queen of Violence,"5' 6""",125 lbs.,"67""",Orthodox,1994-01-26
Arjan Singh Bhullar,Heavyweight,9,1,0,NA,"6' 1""",245 lbs.,"75""",Orthodox,1986-05-13
Arman Tsarukyan,Lightweight,16,2,0,Ahalkalakets,"5' 7""",155 lbs.,"72""",Orthodox,1996-10-11
Arnold Allen,Featherweight,17,1,0,Almighty,"5' 8""",145 lbs.,"70""",Southpaw,1994-01-22
Artem Lobov,Featherweight,14,15,1,The Russian Hammer,"5' 9""",145 lbs.,"65""",Southpaw,1986-08-11
Ashkan Mokhtarian,Flyweight,13,3,0,The Assassin,"5' 6""",125 lbs.,"67""",Southpaw,1985-09-15
Ashlee Evans-Smith,Women's Bantamweight,6,5,0,Rebel Girl,"5' 8""",135 lbs.,"67""",Orthodox,1987-07-09
Ashley Yoder,Women's Strawweight,8,7,0,Spider Monkey,"5' 7""",115 lbs.,"69""",Southpaw,1987-10-20
Askar Askar,Bantamweight,11,1,0,AK-47,"5' 7""",145 lbs.,"69""",Orthodox,1994-08-19
Askar Askarov,Flyweight,13,0,1,Bullet,"5' 6""",125 lbs.,"67""",Orthodox,1992-10-09
Aspen Ladd,Women's Bantamweight,9,1,0,NA,"5' 6""",135 lbs.,"66""",Orthodox,1995-03-01
Augusto Sakai,Heavyweight,15,3,1,NA,"6' 3""",265 lbs.,"77""",Orthodox,1991-05-09
Austin Arnett,Featherweight,16,6,0,Golden Boy,"6' 0""",145 lbs.,"72""",Orthodox,1991-10-22
Austin Hubbard,Lightweight,13,5,0,Thud,"5' 10""",155 lbs.,"71""",Orthodox,1991-12-22
Austin Lingo,Featherweight,8,1,0,Lights Out,"5' 10""",145 lbs.,"70""",Orthodox,1994-07-10
Austin Springer,Featherweight,10,4,0,NA,"5' 8""",145 lbs.,"71""",Orthodox,1987-05-12
Bartosz Fabinski,Middleweight,15,5,0,The Butcher,"6' 0""",170 lbs.,"75""",Orthodox,1986-04-26
Bea Malecki,Women's Bantamweight,4,0,0,NA,"5' 9""",135 lbs.,"74""",Orthodox,1991-08-23
Belal Muhammad,Welterweight,19,3,0,Remember The Name,"5' 11""",170 lbs.,"72""",Orthodox,1988-07-09
Ben Askren,Welterweight,19,2,0,Funky,"5' 11""",170 lbs.,"73""",Orthodox,1984-07-18
Ben Nguyen,Flyweight,17,8,0,10,"5' 5""",125 lbs.,"65""",Switch,1988-08-03
Ben Rothwell,Heavyweight,39,13,0,NA,"6' 4""",265 lbs.,"78""",Orthodox,1981-10-17
Ben Saunders,Welterweight,22,13,2,Killa B,"6' 2""",170 lbs.,"77""",Orthodox,1983-04-13
Ben Sosoli,Heavyweight,0,1,0,Combat Wombat,"6' 0""",265 lbs.,"72""",Southpaw,1989-12-10
Beneil Dariush,Lightweight,21,4,1,NA,"5' 10""",155 lbs.,"72""",Southpaw,1989-05-06
Benito Lopez,Bantamweight,10,1,0,Golden Boy,"5' 10""",135 lbs.,"73""",Switch,1994-04-06
Bethe Correia,Women's Bantamweight,11,5,1,Pitbull,"5' 5""",135 lbs.,"64""",Orthodox,1983-06-22
Bevon Lewis,Middleweight,8,3,0,NA,"6' 3""",185 lbs.,"79""",Orthodox,1991-05-05
Bharat Khandare,Bantamweight,5,3,0,Daring,"5' 7""",135 lbs.,"72""",Orthodox,1987-06-20
Bill Algeo,Featherweight,14,6,0,Senor Perfecto,"6' 0""",145 lbs.,"73""",Switch,1989-06-09
Billy Quarantillo,Featherweight,16,3,0,NA,"5' 10""",145 lbs.,"70""",Orthodox,1988-12-08
B.J. Penn,Lightweight,16,14,2,The Prodigy,"5' 9""",155 lbs.,"70""",Orthodox,1978-12-13
Blagoy Ivanov,Heavyweight,18,4,0,Baga,"5' 11""",250 lbs.,"73""",Southpaw,1986-10-09
Bobby Green,Lightweight,27,11,1,King,"5' 10""",155 lbs.,"71""",Orthodox,1986-09-09
Bobby Moffett,Featherweight,12,5,0,The Wolfman,"5' 10""",145 lbs.,"73""",Orthodox,1990-06-01
Boston Salmon,Bantamweight,6,3,0,Boom Boom,"5' 9""",135 lbs.,"69""",Southpaw,1990-11-20
Brad Katona,Bantamweight,9,1,0,Superman,"5' 6""",135 lbs.,"64""",Orthodox,1991-12-19
Brad Pickett,Bantamweight,26,14,0,One Punch,"5' 6""",135 lbs.,"68""",Orthodox,1978-09-24
Brad Riddell,Lightweight,10,1,0,Quake,"5' 7""",155 lbs.,"71""",Orthodox,1991-09-30
Brad Tavares,Middleweight,19,7,0,NA,"6' 1""",185 lbs.,"74""",Orthodox,1987-12-21
Bradley Scott,Welterweight,12,6,0,Bear,,,,,
Brandon Michael Davis,Featherweight,10,7,0,Killer B,"5' 10""",135 lbs.,"72""",Orthodox,1990-05-08
Brandon Moreno,Flyweight,19,5,2,The Assassin Baby,"5' 7""",125 lbs.,"70""",Orthodox,1993-12-07
Brandon Royval,Flyweight,12,4,0,Raw Dawg,"5' 9""",125 lbs.,"68""",Southpaw,1992-08-16
Brendan Allen,Middleweight,17,4,0,All In,"6' 2""",185 lbs.,"75""",Orthodox,1995-12-28
Brendan Schaub,Heavyweight,11,5,0,Big Brown,"6' 4""",245 lbs.,"78""",Orthodox,1983-03-18
Brett Johns,Bantamweight,17,2,0,The Pikey,"5' 7""",135 lbs.,"71""",Orthodox,1992-02-21
Brian Kelleher,Featherweight,22,12,0,Boom,"5' 6""",145 lbs.,"66""",Switch,1986-08-19
Brian Ortega,Featherweight,15,1,0,T-City,"5' 8""",145 lbs.,"69""",Switch,1991-02-21
Brianna Van Buren,Women's Strawweight,9,3,0,The Bull,"5' 0""",115 lbs.,"62""",Southpaw,1993-08-04
Brock Lesnar,Heavyweight,6,3,0,NA,"6' 3""",265 lbs.,"81""",Orthodox,1977-07-12
Brok Weaver,Lightweight,15,6,0,Chata TUska,"6' 0""",155 lbs.,"73""",Southpaw,1991-12-05
Bruno Marcelo de Oliveira,Light Heavyweight,0,0,0,NA,"6' 4""",205 lbs.,"80""",Orthodox,1984-05-02
Bruno Rodrigues Mesquita,Bantamweight,4,2,0,NA,,,,,
Bruno Silva,Middleweight,20,6,0,Blindado,"6' 0""",185 lbs.,,,1989-07-13
Bruno Silva,Flyweight,12,5,2,Bulldog,"6' 0""",185 lbs.,,,1989-07-13
Bryan Barberena,Welterweight,15,7,0,Bam Bam,"6' 0""",170 lbs.,"72""",Southpaw,1989-05-03
Bryan Caraway,Bantamweight,21,10,0,Kid Lightning,"5' 8""",135 lbs.,"68""",Orthodox,1984-08-04
Bryce Mitchell,Featherweight,14,1,0,Thug Nasty,"5' 10""",145 lbs.,"70""",Southpaw,1994-10-04
Cain Velasquez,Heavyweight,14,3,0,NA,"6' 1""",240 lbs.,"77""",Orthodox,1982-07-28
Calen Born,Welterweight,7,1,0,NA,"5' 8""",170 lbs.,"72""",Switch,1988-05-24
Callan Potter,Lightweight,18,9,0,The Rockstar,"6' 0""",170 lbs.,"72""",Orthodox,1984-06-09
Calvin Kattar,Featherweight,22,5,0,NA,"5' 11""",145 lbs.,"72""",Orthodox,1988-03-26
