Rank,Name,Years,Wins,Losses,Pct.,Teams
1,Mike Krzyzewski†,47,"1,202",368,0.766,"Army (1975–1980), Duke (1980–2022)"
2,Herb Magee†,54,"1,144",450,0.718,Philadelphia Textile/Philadelphia/Jefferson (1967–2022)
3,Harry Statham,52,"1,122",513,0.686,McKendree (1967–2018)
4,Dave Holmquist,47,"1,056",439,0.706,"Fresno Pacific (1974–1977), Biola (1978–present)"
5,Danny Miles,45,"1,040",437,0.704,Oregon Tech (1971–2016)
6,Jim Boeheim†,47,"1,015",441,0.697,Syracuse (1976–2023)
7,Glenn Robinson,48,967,359,0.729,Franklin & Marshall (1971–2019)
8,Bob Huggins†,41,934,415,0.692,"Walsh (1980–1983), Akron (1984–1989), Cincinnati (1989–2005), Kansas State (2006–2007), West Virginia (2007–2023)"
9,Don Meyer,38,923,324,0.74,"Hamline (1972–1975), Lipscomb (1975–1999), Northern State (1999–2010)"
10,Jim Calhoun†,44,920,397,0.699,"Northeastern (1972–1986), UConn (1986–2012), Saint Joseph (CT) (2018–2021)"
11,Larry Holley,48,919,579,0.613,"Central Methodist (1969–1975), Northwest Missouri State (1977–1979), William Jewell (1979–2019)"
12,Cliff Ellis,49,909,576,0.612,"South Alabama (1975–1984), Clemson (1984–1994), Auburn (1994–2004), Coastal Carolina (2007–2023)"
13,Roy Williams†,33,903,264,0.774,"Kansas (1988–2003), North Carolina (2003–2021)"
14,Bob Knight†,42,902,371,0.709,"Army (1965–1971), Indiana (1971–2000), Texas Tech (2001–2008)"
15,Dean Smith†,36,879,254,0.777,North Carolina (1961–1997)
16,Adolph Rupp†,41,876,190,0.822,Kentucky (1930–1972)
17,Steve Moore,39,867,251,0.775,"Muhlenberg (1981–1987), Wooster (1987–2020)"
18,Jim Phelan,49,830,524,0.613,Mount St. Mary's (1954–2003)
19,Clarence Gaines†,47,828,447,0.649,Winston-Salem State (1946–1993)
20,David Hixon†,42,826,293,0.738,Amherst (1977–2019)
21,Jerry Johnson,47,821,447,0.647,LeMoyne–Owen (1958–2005)
22,Rollie Massimino,40,816,462,0.638,"Stony Brook (1969–1971), Villanova (1973–1992), UNLV (1992–1994), Cleveland State (1996–2003), Northwood (FL)/Keiser (2006–2017)"
23,John Calipari†,32,813,261,0.757,"UMass (1988–1996), Memphis (2000–2009), Kentucky (2009–2024), Arkansas (2024–present)"
