Gentlemen/Ladies,Year,Country,Champion,Country,Runner-up,Score in the final (winner first)
Gentlemen's Singles,1968,Australia,Rod Laver,Australia,Tony Roche,"6–3, 6–4, 6–2"
Gentlemen's Singles,1969,Australia,Rod Laver,Australia,John Newcombe,"6–4, 5–7, 6–4, 6–4"
Gentlemen's Singles,1970,Australia,John Newcombe,Australia,Ken Rosewall,"5–7, 6–3, 6–2, 3–6, 6–1"
Gentlemen's Singles,1971,Australia,John Newcombe,United States of America,Stan Smith,"6–3, 5–7, 2–6, 6–4, 6–4"
Gentlemen's Singles,1972,United States of America,Stan Smith,Romania,Ilie Năstase,"4–6, 6–3, 6–3, 4–6, 7–5"
Gentlemen's Singles,1973,Czechoslovakia,Jan Kodeš,Soviet Union,Alex Metreveli,"6–1, 9–8(7–5), 6–3"
Gentlemen's Singles,1974,United States of America,Jimmy Connors,Australia,Ken Rosewall,"6–1, 6–1, 6–4"
Gentlemen's Singles,1975,United States of America,Arthur Ashe,United States of America,Jimmy Connors,"6–1, 6–1, 5–7, 6–4"
Gentlemen's Singles,1976,Sweden,Björn Borg,Romania,Ilie Năstase,"6–4, 6–2, 9–7"
Gentlemen's Singles,1977,Sweden,Björn Borg,United States of America,Jimmy Connors,"3–6, 6–2, 6–1, 5–7, 6–4"
Gentlemen's Singles,1978,Sweden,Björn Borg,United States of America,Jimmy Connors,"6–2, 6–2, 6–3"
Gentlemen's Singles,1979,Sweden,Björn Borg,United States of America,Roscoe Tanner,"6–7(4–7), 6–1, 3–6, 6–3, 6–4"
Gentlemen's Singles,1980,Sweden,Björn Borg,United States of America,John McEnroe,"1–6, 7–5, 6–3, 6–7(16–18), 8–6"
Gentlemen's Singles,1981,United States of America,John McEnroe,Sweden,Björn Borg,"4–6, 7–6(7–1), 7–6(7–4), 6–4"
Gentlemen's Singles,1982,United States of America,Jimmy Connors,United States of America,John McEnroe,"3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4"
Gentlemen's Singles,1983,United States of America,John McEnroe,New Zealand,Chris Lewis,"6–2, 6–2, 6–2"
Gentlemen's Singles,1984,United States of America,John McEnroe,United States of America,Jimmy Connors,"6–1, 6–1, 6–2"
Gentlemen's Singles,1985,Germany,Boris Becker,United States of America,Kevin Curren,"6–3, 6–7(4–7), 7–6(7–3), 6–4"
Gentlemen's Singles,1986,Germany,Boris Becker,Czechoslovakia,Ivan Lendl,"6–4, 6–3, 7–5"
Gentlemen's Singles,1987,Australia,Pat Cash,Czechoslovakia,Ivan Lendl,"7–6(7–5), 6–2, 7–5"
Gentlemen's Singles,1988,Sweden,Stefan Edberg,Germany,Boris Becker,"4–6, 7–6(7–2), 6–4, 6–2"
Gentlemen's Singles,1989,Germany,Boris Becker,Sweden,Stefan Edberg,"6–0, 7–6(7–1), 6–4"
Gentlemen's Singles,1990,Sweden,Stefan Edberg,Germany,Boris Becker,"6–2, 6–2, 3–6, 3–6, 6–4"
Gentlemen's Singles,1991,Germany,Michael Stich,Germany,Boris Becker,"6–4, 7–6(7–4), 6–4"
