Fighter,Opponent,Result,Event,Event_date,Method,Referee,Round,Time
Aalon Cruz,Uros Medic,loss,UFC 259 - Blachowicz vs. Adesanya,Mar / 06 / 2021,TKO (Punches),Mark Smith,1,1:40
Aalon Cruz,Spike Carlyle,loss,UFC Fight Night 169 - Benavidez vs. Figueiredo,Feb / 29 / 2020,TKO (Punches),Scott Howard,1,1:25
Aalon Cruz,Steven Nguyen,win,Dana White's Contender Series - Season 3,,,,,
Aalon Cruz,Gui Cury,win,NFC 116 - National Fighting Championship 116,Feb / 08 / 2019,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Steve Garcia,win,Fresquez Productions - Jackson-Wink Fight Night 3,Jun / 02 / 2018,Submission (Rear-Naked Choke),N/A,1,1:47
Aalon Cruz,Bruno Justo,win,RFC 41 - War,Nov / 03 / 2017,TKO (Retirement),Andrew Glenn,1,5:00
Aalon Cruz,Da'Mon Blackshear,loss,Conflict MMA Promotions - Conflict MMA 43,Jun / 24 / 2017,Submission (Rear-Naked Choke),N/A,4,3:09
Aalon Cruz,Solon Staley,win,Conflict MMA 33 - Live in the Cage,Dec / 05 / 2015,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Kamrin Naville,loss,RFC 34 - It's Time,Jul / 24 / 2015,Submission (Rear-Naked Choke),Andrew Glenn,1,4:16
Aalon Cruz,Jason Valle,win,RFC 32 - Mayhem,Nov / 21 / 2014,Submission (Triangle Choke),Josh Hosegood,2,2:06
Aalon Cruz,Joshua Millwood,win,Conflict MMA 20 - Fight Club Series,Sep / 27 / 2014,Decision (Unanimous),N/A,3,5:00
Aalon Cruz,Bradford May,win,RFC 29 - Heavy Hitters,Nov / 08 / 2013,Decision (Unanimous),N/A,3,5:00
Aaron Jeffery,Collin Huckbody,win,CFFC 93 - Cage Fury Fighting Championships 93,Mar / 12 / 2021,Decision (Unanimous),Dan Miragliotta,4,5:00
Aaron Jeffery,Andre Petroski,win,LFA 93 - Petroski vs. Jeffery,Oct / 16 / 2020,TKO (Knees and Punches),Marcio Laselva,2,4:19
Aaron Jeffery,Bruno Assis,win,SFT - Standout Fighting Tournament 23: Jesus vs. Cachorro,Aug / 13 / 2020,TKO (Punches),N/A,3,1:26
Aaron Jeffery,Dennis Olson,win,Combat Zone 71 - Prevail,Aug / 23 / 2019,TKO (Corner Stoppage),N/A,2,1:43
Aaron Jeffery,Brendan Allen,loss,Dana White's Contender Series - Season 3,,,,,
Aaron Jeffery,Jonathan Vallee,win,BTC 5 - Typhoon,Mar / 09 / 2019,TKO (Knees),N/A,4,3:00
Aaron Jeffery,Alex Beaule,win,BTC 3 - Prophecy,Jun / 23 / 2018,KO (Punches),N/A,3,0:44
Aaron Jeffery,Chad Kelly,win,Honor FC 3 - Operation Shockwave,Mar / 31 / 2018,Decision (Unanimous),N/A,3,5:00
Aaron Jeffery,T.J. Sumler,win,KOTC - Extreme Horsepower,Mar / 12 / 2016,TKO (Doctor Stoppage),N/A,1,5:00
